企业名称,岗位,专业,数量,薪资,学历,工作性质,其他需求,邮箱
山东亚太中慧集团有限公司,养殖技术员,"【本科】动物医学,【本科】动物科学",20,4500-5999,本科,全职,适应工作环境，热爱养殖行业。,zhonghuizhaopin@163.com
山东亚太中慧集团有限公司,饲料研发,"【本科】动物医学,【本科】动物科学",15,4500-5999,硕士,全职,适应工作环境,zhonghuizhaopin@163.com
山东亚太中慧集团有限公司,会计,【本科】会计学,10,3000-4499,本科,全职,熟悉专业知识,zhonghuizhaopin@163.com
山东亚太中慧集团有限公司,生产管理,【本科】农业机械化及其自动化,10,4500-5999,本科,全职,,zhonghuizhaopin@163.com
山东亚太中慧集团有限公司,董事长助理,"【本科】食品科学与工程,【本科】食品质量与安全,【本科】动物医学,【本科】动物科学,【本科】人力资源管理",2,6000-7999,硕士,全职,,zhonghuizhaopin@163.com
山东亚太中慧集团有限公司,计算机,"【本科】信息与计算科学,【本科】计算机科学与技术",2,3000-4499,本科,全职,,zhonghuizhaopin@163.com
山东亚太中慧集团有限公司,食品研发,"【本科】食品科学与工程,【本科】食品质量与安全",2,4500-5999,硕士,全职,,zhonghuizhaopin@163.com
武汉市江岸区学而思教育培训学校,教师,不限专业,100,8000-9999,本科,全职,,duanran@100tal.com
浙江大飞龙动物保健品股份有限公司,技术服务,"【本科】动物医学,【本科】动物科学",15,6000-7999,硕士,全职,,553724856@qq.com
浙江大飞龙动物保健品股份有限公司,产品研发人员,"【本科】动物医学,【本科】动物科学",5,6000-7999,硕士,全职,,553724856@qq.com
浙江大飞龙动物保健品股份有限公司,产品工艺主管,"【本科】动物医学,【本科】动物科学",10,4500-5999,硕士,全职,,553724856@qq.com
浙江大飞龙动物保健品股份有限公司,企划文案品牌运营,"【本科】动物医学,【本科】动物科学",5,4500-5999,硕士,全职,,553724856@qq.com
新希望六和股份有限公司,现场品管 化验员,"【本科】水产养殖学,【本科】动物医学,【本科】动物科学",3,3000-4499,本科,全职,,124416829@qq.com
新希望六和股份有限公司,营销员,"【本科】动物医学,【本科】动物科学,【本科】水产养殖学",5,3000-4499,本科,全职,,124416829@qq.com
