企业名称,工作地点,岗位名称,岗位工资,平均工资,相关专业,学历要求,待遇
绝味食品股份有限公司,全国,供应链管培生,3K-6K/月,4500.0,生物科学类，生物工程，食品科学与工程类，自动化，物流管理,大专及以上,包吃包住 健康体检 岗位晋升 带薪年假
维新制漆（江西）有限公司,萍乡市,技术见习生2,4K-6K/月,5000.0,材料化学，高分子材料与工程，化学工程与工艺，化学工程与工业生物工程，化工与制药类,大专及以上,年底双薪 绩效奖金 岗前培训 岗位晋升 带薪年假 包吃包住 健康体检
维新制漆（江西）有限公司,萍乡市,技术见习生1,4K-6K/月,5000.0,化学类，应用化学，化学，化学生物学，地球化学,大专及以上,年底双薪 绩效奖金 带薪年假 包吃包住 岗前培训 健康体检 岗位晋升
莱因特电子系统（上海）有限公司,上海市,销售,4K-6K/月,5000.0,化学，化学生物学，农学,大专及以上,年底双薪 年度旅游 节日礼物 带薪年假 餐补 健康体检
上饶市康可得生物科技有限公司,上饶市,动物实验技术员,3.6K-6K/月,4800.0,生物医学工程类，生物制药，生物工程，生物工程类，动物医学类,本科及以上,绩效奖金 带薪年假 岗位晋升 年度旅游 年底双薪 房补 岗前培训
康龙化成（北京）新药技术股份有限公司,北京市,药物代谢及药代动力学研究员,5K-16K/月,10500.0,动物药学，动物科学，生物技术，化工与制药类，药学类,本科及以上,绩效奖金 带薪年假 餐补 免费班车 节日礼物 岗位晋升
康龙化成（北京）新药技术股份有限公司,北京市,药理学研究员,5K-16K/月,10500.0,生物科学，生物技术，化工与制药类，动物科学，应用生物科学,本科及以上,绩效奖金 带薪年假 餐补 免费班车 节日礼物 岗位晋升
北京赛普瑞生科技开发有限责任公司,廊坊市 北京市,仪器工程师,4K-6K/月,5000.0,高分子材料与工程，应用化学，化学生物学，材料化学，仪器类,本科及以上,
湖北大峪口化工有限责任公司,荆门市,化工专业,2.5K-4.5K/月,3500.0,化学类，应用化学，化学工程与工艺，化学工程与工业生物工程，化学,本科及以上,带薪年假 房补 餐补 包吃包住 免费班车
云南震安减震科技股份有限公司,昆明市,橡胶工艺员,3.5K-5K/月,4250.0,化学类，化学，应用化学，材料化学，高分子材料与工程，化学工程与工艺，化学工程与工业生物工程,本科及以上,五险一金 节日礼物 年度旅游 岗位晋升 带薪年假 餐补 免费班车 员工旅游 健康体检
扬子江药业集团有限公司,全国,市场推广员,6K-12K/月,9000.0,化学生物学，生物技术，应用生物科学，动物药学，市场营销,本科及以上,绩效奖金 年度旅游 岗位晋升 包吃包住 弹性工作
贵州安吉航空精密铸造有限责任公司,安顺市,化学分析技术员,3K-4K/月,3500.0,化学类，化学，应用化学，化学生物学,本科及以上,绩效奖金 岗前培训 扁平管理 岗位晋升 带薪年假 交通补助 餐补 房补 免费班车 健康体检
